   F     ;   Na2O  ;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;  Total  ;Comment  
0.740750244;7.804085373;2.335212645;3.407850987;0.342884391;68.33495974;1.494496106;0.065977755;0.638784623;14.34116464;0.01699427;0.04398517;0.093968317;0.338885739;100;decomp_2_1 
0.698548104;7.939319423;2.318718892;3.437233697;0.366554477;68.09115967;1.861049445;0.089020373;0.646183178;13.86623222;0.053412224;0.010472985;0.143479895;0.478615417;100;decomp_2_2 
0.730918277;7.86281249;2.361656218;3.265426791;0.301256858;68.63915262;1.302812443;0.070128646;0.640047356;14.3605687;0.023705458;0.008889547;0.17482775;0.257796852;100;decomp_2_3 
0.711076741;7.980844553;2.320038518;3.433857876;0.357547062;68.1599195;1.611974815;0.110478025;0.668894222;14.12511763;0;0.017073877;0.147638815;0.35553837;100;decomp_2_4 
0.717493361;7.886065104;2.285801544;3.254672012;0.354166936;68.69210198;1.413614579;0.089559455;0.638111117;14.27048498;0;0.018318979;0.102789829;0.276820134;100;decomp_2_5 
0.708453149;7.509944701;2.238113257;3.656017376;0.346244004;67.79397723;2.189220012;0.16464052;0.622640514;14.01938977;0.017960784;0.035921568;0.073838779;0.623638335;100;decomp_2_6 
0.772716486;7.91119117;2.373555507;3.255105302;0.349255979;68.51848251;1.43264209;0.058374229;0.652010454;14.21560881;0.009893937;0.002968181;0.153356025;0.294839325;100;decomp_2_7 
0.66690155;7.403845866;2.245582563;3.344928087;0.361585684;68.92323317;1.593269485;0.075026424;0.638766641;14.28628164;0.003126101;0;0.090656929;0.366795853;100;decomp_2_8 
0.769040527;7.945157826;2.338712464;3.523370529;0.325780968;68.22347076;1.429487399;0.042450247;0.612073334;14.38372334;0;0;0.077989989;0.328742613;100;decomp_2_9 
0.785658071;7.694588656;2.306446394;3.345734309;0.309111372;68.65343765;1.446482704;0.105018607;0.6528987;14.29342875;0;0.026750023;0.103037124;0.277407642;100;decomp_2_10 
