   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;total plus Na;  Total  ;Comment  
0.672863327;7.307764666;2.415225204;3.562634246;0.321760207;68.82936511;1.679628755;0.11332435;0.665780555;14.2636907;0;0;0.09106421;0.433060908;100;99.1942199;CC1-decomp-exp3-1 
0.709024665;7.73640793;2.395217885;3.5340762;0.331413795;68.51930006;1.699248915;0.091389865;0.644750475;14.13228766;0.021089969;0;0.125535529;0.432846502;100;99.14695617;CC1-decomp-exp3-2 
0.696104838;7.140425212;2.324402472;3.713572389;0.325254226;68.93869704;1.615125345;0.130709642;0.664693994;14.27774858;0.007092771;0;0.082073496;0.449884349;100;99.21267134;CC1-decomp-exp3-3 
0.679023175;7.57762406;2.483399382;3.557600003;0.352048943;68.33861748;1.734167016;0.081242064;0.688050071;14.24945679;0.021062757;0.023068734;0.143427347;0.436299972;100;99.16446425;CC1-decomp-exp3-4 
0.668002028;7.736413944;2.379185306;3.663335323;0.3436601;68.1900944;1.699999073;0.144377912;0.674102503;14.29849699;0.009150713;0;0.113875536;0.438217464;100;99.14695551;CC1-decomp-exp3-5 
0.725019623;7.687972711;2.281109559;3.615920651;0.321211225;68.49039099;1.816118071;0.118287308;0.665875969;14.05987421;0;0.009177464;0.091774636;0.494563315;100;99.15229681;CC1-decomp-exp3-6 
0.704324211;7.873187542;2.359134446;3.627118974;0.348645508;68.11046209;1.90097205;0.0572703;0.65609659;14.12064545;0.010047421;0;0.078369884;0.528494344;100;99.13187437;CC1-decomp-exp3-7 
0.614004088;7.811525963;2.343636237;3.621704646;0.324880699;68.25763916;1.912505246;0.100120467;0.676323971;13.97906479;0.003064912;0.036778947;0.123618128;0.527164908;100;99.13867339;CC1-decomp-exp3-8 
0.598391181;7.88004903;2.389528359;3.693274406;0.30272741;68.00569455;1.913237233;0.133200061;0.683154856;14.02031546;0.005045457;0.023209101;0.124118238;0.548945704;100;99.13111779;CC1-decomp-exp3-9 
0.638097422;7.804559864;2.340366858;3.630764189;0.343903062;68.75727981;1.337062643;0.097388478;0.656357762;14.35059799;0.010144633;0.01521695;0.082171528;0.283035264;100;99.1394415;CC1-decomp-exp3-10 
0.754164461;7.549317873;2.390540022;3.79199537;0.370024542;68.30834521;1.786603509;0.075618094;0.6573733;14.20006987;0;0;0.077634577;0.439593188;100;99.16758539;CC1-decomp-exp3-11 
0.748440525;7.441849045;2.429413803;3.724095195;0.319897967;68.29519795;1.871101314;0.106632656;0.644825775;14.18616706;0.021125337;0;0.128763961;0.469787265;100;99.17943528;CC1-decomp-exp3-12 
0.74199214;7.516922184;2.360976359;3.792178709;0.348157735;68.13538223;1.934660765;0.126879641;0.657744059;14.13743711;0;0.025375928;0.085263119;0.527819306;100;99.17115745;CC1-decomp-exp3-13 
0.725630816;7.516164455;2.44658693;3.327928145;0.317527089;68.91355547;1.483828512;0.146550964;0.675762779;14.33655161;0.039690886;0.021372016;0.108895508;0.316509374;100;99.171241;CC1-decomp-exp3-14 
0.690267384;7.554130823;2.377700944;3.658315175;0.340545504;68.59340953;1.534493963;0.123371275;0.66885584;14.28557801;0.024470336;0.014274362;0.135606443;0.366035437;100;99.16705469;CC1-decomp-exp3-15 
0.735108602;7.598862748;2.38155047;3.412716509;0.334323364;68.49298873;1.684707796;0.077538853;0.643471776;14.40208661;0.015104971;0.019132964;0.118825774;0.468254109;100;99.16212239;CC1-decomp-exp3-16 
0.775508859;7.499082766;2.384158919;3.619715407;0.341749667;68.20433589;2.022187378;0.099087182;0.667321835;14.06026884;0.031343904;0.007077656;0.117286868;0.574301215;100;99.17312449;CC1-decomp-exp3-17 
0.770228629;7.702434493;2.342653871;3.766228184;0.33266684;67.95294624;1.814183125;0.070928966;0.686312669;14.28968911;0.030968985;0;0.147851929;0.492506763;100;99.1507022;CC1-decomp-exp3-18 
0.789627408;7.618609985;2.355838823;3.71134915;0.336118401;68.34741933;1.733768946;0.065217003;0.652170032;14.27951368;0;0;0.07424705;0.44447896;100;99.15994499;CC1-decomp-exp3-19 
0.772688825;6.415966261;2.489322046;3.570882525;0.338433628;69.55626554;1.442420432;0.121306029;0.671770364;14.60667305;0.00611627;0;0.085627785;0.32416233;100;99.29255276;CC1-decomp-exp3-20 
