   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;   Cr2O3 ;total na corr;  Total  ;Comment  
0.770234014;8.364777347;2.353000972;3.660333034;0.348228405;67.35662023;1.967392117;0.13476636;0.664978536;14.10620148;0;0.039347842;0.094434822;0.543000224;0;100;98.43846459;Grid 1-1 grid mitte 
0.769393702;5.947287571;2.326237281;3.910165124;0.357111027;69.05283397;2.263040667;0.136424437;0.690147154;14.13999169;0.02307178;0;0.11636202;0.672090978;0;100;98.88976123;Grid 1-2 grid mitte 
0.779875122;5.724995789;2.260638015;4.290313013;0.363941724;68.32106009;2.805550761;0.190969421;0.680890972;13.99775861;0;0.038993756;0.136978066;0.817869039;0;100;98.93125863;Grid 1-3 grid mitte 
0.815271118;5.914399662;2.403644159;3.908682837;0.357434136;69.10527158;2.20585055;0.088354505;0.663662819;14.19093841;0;0;0.142572043;0.627517794;0;100;98.89590074;Grid 1-4 grid mitte 
0.823920418;5.1793812;2.381897385;4.007524681;0.374601072;69.62329475;2.253664673;0.056543558;0.661357689;14.3368211;0;0;0.110057997;0.622988846;0;100;99.03311388;Grid 1-5 grid mitte 
0.768923734;6.100313519;2.405761383;4.029600321;0.360964197;69.0501512;2.1837834;0.075992463;0.64293623;14.09660182;0;0.004999504;0.101989884;0.58294218;0;100;98.86119437;Grid 1-6 grid mitte 
0.719828995;5.740498393;2.315884373;4.217716691;0.351894119;68.55920036;2.771040868;0.041104441;0.658673607;13.96849219;0.010025473;0.004010189;0.144366818;0.879234024;0;100;98.9283646;Grid 1-7 grid mitte 
0.771508837;6.118723222;2.304571557;3.988949559;0.342450374;68.38853427;2.579328253;0.189144102;0.648067423;14.0683392;0.013936934;0;0.149324291;0.839202515;0;100;98.85775765;Grid 1-8 grid mitte 
0.811288927;6.123319384;2.275590782;3.896177744;0.338451822;68.81422362;2.354231059;0.102530993;0.66396284;14.16221787;0.012940805;0.010949912;0.125426264;0.726675972;0;100;98.85689964;Grid 1-9 grid mitte 
0.779946232;5.065976443;2.415708953;3.764176304;0.362154022;70.00497946;2.049508517;0.105206755;0.677774287;14.43558072;0;0.019220465;0.116334393;0.614043272;0;100;99.05428426;Grid 2-1 grid mitte 
0.806028139;3.634630764;2.484571509;3.981042533;0.361076057;71.00310058;2.004841564;0.146271604;0.684305615;14.73251686;0.00613727;0;0.116608132;0.460295257;0;100;99.32148766;Grid 2-2 grid mitte 
0.774584697;3.403667922;2.324775971;4.373644464;0.370942276;70.59041728;2.572070822;0.06744405;0.713271924;14.31142307;0;0.009196916;0.117516148;0.780715974;0;100;99.36460377;Grid 2-3 grid mitte 
0.836862874;3.496663315;2.362787018;4.190430298;0.367975027;70.62368359;2.446371373;0.151878889;0.671732806;14.43970703;0.004077286;0;0.131492461;0.711486341;0;100;99.34724341;Grid 2-4 grid mitte 
0.831122405;3.461678108;2.376522378;4.203366002;0.354598679;70.61593921;2.423260313;0.160534645;0.686844433;14.41763683;0.021336883;0.003048126;0.135133594;0.738662578;0;100;99.35377444;Grid 2-5 grid mitte 
0.850519068;3.492082438;2.344812496;4.136941121;0.364361959;71.00043109;2.284426665;0.118724683;0.671408554;14.40764972;0;0.012281864;0.079832115;0.676525997;0;100;99.34809856;Grid 2-6 grid mitte 
0.794782078;3.619052595;2.386386752;4.107564372;0.351989495;70.53053279;2.651654198;0.128552685;0.690715618;14.17752472;0.014283632;0;0.141816058;0.819268304;0;100;99.32439579;Grid 2-7 grid mitte 
0.788592123;3.800817099;2.365776369;4.038609207;0.349015611;70.30273337;2.790089808;0.123122125;0.703118912;14.16718468;0.009157844;0;0.106841513;0.86490749;0;100;99.29046402;Grid 2-8 grid mitte 
0.813223336;3.652881786;2.404046959;4.090543915;0.362337306;70.29750862;2.677835541;0.118064965;0.697193974;14.2441309;0.005089007;0;0.180150852;0.88039823;0;100;99.31808057;Grid 2-9 grid mitte 
0.74558994;5.408055196;2.313830792;3.865058183;0.337266859;69.19675114;2.607062809;0.127100567;0.65451788;14.10916372;0;0;0.164129866;0.861681796;0;100;98.99042505;Grid 2-10 grid mitte 
0.797338142;5.784556959;2.375947157;3.910371188;0.350467269;69.42364954;1.970248657;0.072302703;0.682858862;14.32698144;0;0.016067267;0.181760962;0.522186188;0;100;98.92013976;Grid 3-1 grid mitte 
0.831783659;4.016950815;2.458699555;3.924756432;0.361423744;70.78305861;2.018882491;0.174094254;0.66074369;14.5730126;0;0;0.117080931;0.511083717;0;100;99.25011621;Grid 3-2 grid mitte 
0.837261164;4.095064259;2.510758693;3.710798868;0.382250201;70.93969346;1.834391045;0.046115976;0.654846859;14.82987308;0.01947119;0;0.149620722;0.428366177;0;100;99.23553401;Grid 3-3 grid mitte 
0.796553842;3.84374355;2.424250071;3.98582114;0.371318202;70.59623738;2.219770732;0.116990666;0.70906517;14.5231196;0.024415443;0.007121171;0.180063895;0.620559187;0;100;99.28245052;Grid 3-4 grid mitte 
0.798796024;3.770925524;2.365860835;4.153739324;0.362256541;70.42938751;2.598885407;0.111933201;0.679739801;14.22569225;0;0;0.149583459;0.771321511;0;100;99.29604418;Grid 3-5 grid mitte 
0.835421842;4.042388932;2.389245415;3.985806767;0.353095468;70.63232197;2.240680751;0.087510692;0.679734215;14.4463872;0;0.02136889;0.134318737;0.583065427;0;100;99.24536743;Grid 3-6 grid mitte 
0.864336842;4.080065661;2.398892324;4.058092125;0.361672863;70.88481615;1.935051985;0.157337912;0.698825532;14.46282783;0.004086699;0;0.061300485;0.478143785;0;100;99.23833394;Grid 3-7 grid mitte 
0.817246902;4.253398562;2.401105831;3.980913969;0.345329856;70.68831262;2.022356957;0.10228245;0.657240694;14.50689204;0.019241253;0.011139673;0.123549098;0.493183695;0;100;99.20597618;Grid 3-8 grid mitte 
0.823832631;4.039180868;2.379847785;3.869671195;0.367618764;70.94431136;1.995935669;0.121181808;0.679229128;14.59069707;0;0.041751716;0.070265082;0.506112259;0;100;99.24596631;Grid 3-9 grid mitte 
