   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;Total+Na;  Total  ;Comment  
0.834563258;7.955388754;2.417390655;3.734213704;0.360425738;67.60673092;2.068133038;0.124879904;0.646735761;13.94898371;0.009137554;0;0.143155011;0.582772884;100;98.59725269;exp7-raw-1 
0.664423049;8.071525835;2.390091489;3.877666523;0.346965176;67.4129934;1.986146695;0.069189536;0.630845774;14.11466544;0.001017493;0;0.196376184;0.596251006;100;98.57677463;exp7-raw-2 
0.524065052;7.960567368;2.2790736;3.705018044;0.368673671;68.04314389;1.839305833;0.170625831;0.657112575;14.07358417;0.010156299;0;0.095469215;0.57687781;100;98.59633957;exp7-raw-3 
0.742619947;8.256001274;2.299889919;3.864261447;0.382469563;67.30246899;2.089886737;0.083189666;0.647256184;14.05093753;0;0.008116065;0.092320239;0.579284139;100;98.54424669;exp7-raw-4 
0.702159411;7.968341915;2.312756614;3.854255641;0.369878474;67.76600433;1.927635895;0.075195074;0.658464976;13.96392856;0;0.027436041;0.152422448;0.600544446;100;98.59496871;exp7-raw-5 
0.748370788;8.067325998;2.3620453;3.601534418;0.369101353;67.62079147;2.00209522;0.134218674;0.661942097;14.10109523;0.021352971;0.03253786;0.110832087;0.565345324;100;98.57751517;exp7-raw-6 
0.711244641;7.702251643;2.361984353;3.732505903;0.374982848;67.81279494;2.030817435;0.131447792;0.686789238;14.04657218;0;0.020379503;0.162017046;0.610366103;100;98.64188752;exp7-raw-7 
0.981786697;8.034885673;2.382441807;3.75449127;0.354505706;67.14256347;2.333403554;0.104206288;0.644648705;14.0402649;0;0.033713799;0.112379331;0.574156216;100;98.58323527;exp7-raw-8 
0.588780753;7.943720422;2.365344899;3.730989145;0.366965782;67.72614159;2.09037611;0.110396391;0.63375706;14.10313897;0.00817751;0.001022189;0.091996993;0.570381354;100;98.59931013;exp7-raw-9 
0.762530551;7.929297694;2.33774467;3.692899637;0.381777041;67.66460701;2.10949727;0.15250611;0.650965679;14.04489158;0;0.002047062;0.083929537;0.594671477;100;98.60185324;exp7-raw-10 
0.853483257;7.808531105;2.447398886;3.767344352;0.378873236;67.59118896;2.119449472;0.132401937;0.650806445;13.98368152;0.011203241;0;0.113050885;0.587660906;100;98.62314762;exp7-raw-11 
0.916037274;7.98026458;2.389484255;3.761490866;0.36580012;67.36870103;2.125124505;0.071725514;0.640406372;14.08791553;0.034838107;0.027665555;0.097341769;0.601469665;100;98.59286642;exp7-raw-12 
0.539188414;7.985305709;2.216889983;3.871148577;0.373049073;67.78485122;2.036481005;0.126388211;0.659461066;14.02501433;0.031597053;0;0.104983756;0.55753509;100;98.59197754;exp7-raw-13 
