   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;  Total  ;Total +Na;Comment  
0.375601849;1.327124243;2.398073341;4.398875496;0.278605767;72.28994151;2.737559628;0.145494123;0.708896896;14.55663538;0.024764957;0.026828703;0.179545939;0.772873035;99.76253387;100;exp7-1 
0.371991349;8.541166543;2.437083165;3.512815404;0.285618687;67.89872702;1.644025091;0.039260301;0.648776469;14.30350905;0.006870553;0.020611658;0.083428139;0.427937277;98.47170467;100;exp7-2 
0.505496676;8.256287175;2.48421129;3.227704455;0.299954253;68.7613163;1.09458716;0.116047875;0.649081335;14.57384288;0.021636044;0.048189372;0.074742699;0.167187616;98.52267895;100;exp7-3 
0.480669839;8.387852958;2.498308409;3.426363414;0.274109073;68.44111971;1.052383049;0.093001293;0.677440995;14.67070918;0.025452985;0;0.091043371;0.145865185;98.4991375;100;exp7-4 
0.535684853;8.432355186;2.518900466;3.277130864;0.324955885;68.39336664;1.147192745;0.099456195;0.67256021;14.64960212;0;0.004923574;0.052189885;0.190049957;98.49117459;100;exp7-5 
0.6966437;8.28146035;2.476519294;3.493030383;0.332622837;68.43297868;1.165651712;0.079476253;0.648565473;14.49607609;0;0;0.0755515;0.190350532;98.51817464;100;exp7-6 
0.707667531;8.441955241;2.454752419;3.440186817;0.330768319;68.24427658;1.219033389;0.061835027;0.647795521;14.53221284;0.018648659;0.003926033;0.068705586;0.201209215;98.48945683;100;exp7-7 
0.709012322;8.464234889;2.480059837;3.18610558;0.344123135;68.37172936;1.18959808;0.07119789;0.659569343;14.6044672;0.015821753;0;0.059331575;0.221504547;98.48547027;100;exp7-8 
0.677893832;8.519547971;2.427896812;3.400229379;0.315959174;68.25500723;1.178733142;0.091950967;0.658329796;14.56835907;0;0.025433246;0.048910089;0.188792943;98.47557294;100;exp7-9 
0.656752085;8.63913932;2.460865698;3.318943571;0.323489494;68.19373543;1.160066554;0.068411675;0.64306975;14.55311799;0.048865482;0.029319289;0.073298224;0.180802285;98.45417412;100;exp7-10 
0.664794262;8.361043864;2.472448072;3.460840718;0.300135057;68.31640919;1.179032177;0.138824684;0.668704817;14.50620186;0.017597495;0;0.067457065;0.193572447;98.50393453;100;exp7-11 
0.663336303;8.445852421;2.379571798;3.346119518;0.290454949;68.40017804;1.160838531;0.150133808;0.65842997;14.57082954;0.013737734;0;0.05396967;0.211953612;98.48875949;100;exp7-12 
0.688951974;8.369387522;2.407892062;3.36908326;0.309586122;68.65342533;1.158736629;0.064865664;0.663398833;14.40509141;0;0;0.07960786;0.189682926;98.50244158;100;exp7-13 
0.570150358;8.456268675;2.471626167;3.307846692;0.166659335;68.33227675;1.12470686;0.094537752;0.65006887;14.84827471;0;0.005847696;0.090639288;0.158862407;98.48689568;100;exp7-14 
0.713766295;8.417313345;2.390332731;3.498239206;0.336293735;68.3313574;1.219677571;0.063729134;0.64023268;14.50965303;0;0.000980448;0.03823748;0.216679054;98.49386607;100;exp7-15 
0.671826214;8.493949607;2.451970382;3.405026174;0.310524326;68.47159028;1.19131974;0.083001785;0.649366907;14.3632148;0.001952983;0.016600357;0.065424937;0.177721469;98.48015333;100;exp7-16 
0.712063321;8.371337344;2.4838502;3.37122095;0.322053535;68.40732244;1.200560426;0.045304167;0.654940675;14.48157547;0.037425181;0.017727718;0.067956251;0.198944386;98.50209269;100;exp7-17 
