   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;Total+Na;  Total  ;Comment  
0.438850803;8.270230962;2.607231526;3.461050095;0.188078915;68.27364144;1.032941345;0.068663731;0.667729906;14.98262514;0.011941518;0.037814808;0.040800188;0.146283601;100;98.78521618;exp8-1 
0.406571327;8.245421492;2.536088299;3.488740721;0.202289165;68.33288131;1.015431818;0.099649835;0.641744937;15.05908305;0.000996498;0;0.041852931;0.146485257;100;98.78886036;exp8-2 
0.494779746;8.210408831;2.452040991;3.48730303;0.252357541;68.38790013;1.097854657;0.108295165;0.65473866;14.90499147;0.006954735;0;0.029806009;0.177842519;100;98.79400324;exp8-3 
0.521176986;8.109734038;2.537256662;3.519933879;0.232739341;68.25329828;1.115955302;0.092498969;0.661417358;14.95797841;0.009946126;0;0.082552843;0.17803565;100;98.80879099;exp8-4 
0.426750202;8.323957251;2.475349198;3.469449436;0.221791288;68.5077644;1.028755127;0.053467543;0.657452747;14.86694728;0;0;0.069309778;0.128718158;100;98.77732453;exp8-5 
0.394334993;8.02833339;2.498450753;3.415578351;0.188205338;68.77959087;1.005753392;0.068709885;0.664195557;14.97775918;0.005974773;0.011949545;0.016928522;0.153352497;100;98.82074763;exp8-6 
0.425141848;7.992135319;2.505051267;3.437973777;0.175234111;68.73259304;1.017552621;0.088612704;0.675049586;14.97853388;0;0;0.052769363;0.138395122;100;98.82606463;exp8-7 
0.411971064;8.179095053;2.514512544;3.213374301;0.144934398;68.88553274;0.992701359;0.056583977;0.636321571;14.92526494;0.019854027;0.033751846;0.057576679;0.135007385;100;98.7986028;exp8-8 
0.559342973;7.970632672;2.503583252;3.391951503;0.330022324;68.6516228;1.170532353;0.046861176;0.667023973;14.80015524;0;0;0.013958648;0.204394491;100;98.82922308;exp8-9 
0.571434904;8.176935904;2.514115851;3.495837062;0.311422136;68.27559601;1.118153766;0.061295786;0.678208208;14.85038702;0.015818267;0;0.064261711;0.176966865;100;98.79891995;exp8-10 
0.521964908;8.174861629;2.487768108;3.501928063;0.324491492;68.20374545;1.1262931;0.091294243;0.659898601;14.96034783;0.024808218;0;0.066486024;0.148849308;100;98.79922463;exp8-11 
0.496566197;8.264835638;2.459090767;3.469039147;0.261142382;68.21454479;1.152389679;0.127603664;0.662747713;14.89105084;0.015826811;0.018794338;0.058361366;0.176073273;100;98.78600868;exp8-12 
0.428822293;8.261535342;2.532608728;3.345010596;0.146547068;68.86040189;0.98353737;0.023604897;0.655035888;14.81207279;0;0.006884762;0.024588434;0.133761082;100;98.78649345;exp8-13 
0.458820546;8.147086868;2.530913333;3.347909918;0.120378724;68.907939;0.953162682;0.08091029;0.644322186;14.89242688;0.000986711;0;0;0.136166097;100;98.80330437;exp8-14 
0.433212089;8.02186978;2.472960125;3.472604421;0.144075091;68.608361;1.015433347;0.201310401;0.640443384;14.97690176;0;0.025657208;0.034538549;0.167758668;100;98.82169705;exp8-15 
0.41245842;8.236368892;2.417656036;3.237650937;0.122064067;68.9287911;1.00801294;0.096469988;0.657570941;14.92430096;0.024609691;0;0;0.134861106;100;98.79019006;exp8-16 
0.446266896;8.124309214;2.516668843;3.307509071;0.144148157;69.00451239;0.990278089;0.11255404;0.66248913;14.75149046;0;0;0.028632168;0.131313047;100;98.80665009;exp8-17 
0.513255489;8.148034962;2.519797663;3.330721557;0.209653495;68.80590353;1.025522047;0.059335895;0.671484542;14.81122826;0;0;0.0187897;0.1503176;100;98.80316511;exp8-18 
0.573204427;8.080109418;2.523678009;3.523086071;0.228887138;68.69080586;1.052683517;0.095698502;0.661010268;14.66258896;0;0.01973165;0.01183899;0.169692188;100;98.81314244;exp8-19 
0.540980785;8.24827174;2.485935512;3.280562965;0.223922449;68.64808367;1.085924799;0.092145079;0.681675421;14.81752315;0.005944844;0;0.016843724;0.150602709;100;98.78844169;exp8-20 
