   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;Total +Na;  Total  ;Comment  
0.79821332;7.928410882;2.380220624;3.649122315;0.370782962;67.45572027;2.156720894;0.07724645;0.637540704;14.23600583;0;0.040168154;0.135953753;0.553084585;100;98.34709075;exp9-raw-1 
0.707865813;8.255279029;2.287029663;3.795713366;0.365679598;67.41681321;2.129726149;0.070480146;0.650664536;14.03780646;0;0;0.090909174;0.57303423;100;98.27894551;exp9-raw-2 
0.743355535;8.337523266;2.359745388;3.847477552;0.376783232;67.24304318;1.956413744;0.065349937;0.655541557;14.1053755;0;0;0.120488947;0.587128342;100;98.2617993;exp9-raw-3 
0.946327285;8.103810599;2.392696748;3.919194674;0.385428048;67.22980864;2.172597048;0.109542708;0.634941994;13.86019545;0.008114275;0;0.130842679;0.592342052;100;98.31052354;exp9-raw-4 
0.762985234;8.297947122;2.327716985;3.799625666;0.378432516;67.18962217;2.067608382;0.118323913;0.635481017;14.05198474;0.004080135;0.004080135;0.165245465;0.603859972;100;98.2700501;exp9-raw-5 
0.739964955;8.24638405;2.319779942;3.619305173;0.391386422;67.53861953;2.03847095;0.084596544;0.641099114;14.04914179;0.001019235;0;0.161039205;0.569752631;100;98.28079993;exp9-raw-6 
0.826149179;8.293366448;2.35824334;3.758927829;0.386079579;67.31129381;1.951790168;0.144652507;0.634637409;14.05370415;0.024448311;0.011205476;0.070288894;0.610189097;100;98.27100508;exp9-raw-7 
0.643938211;8.360369846;2.350933975;3.81886895;0.387583663;67.38767604;2.003024231;0.118004475;0.627661732;13.89909602;0.01119008;0;0.149540153;0.601212453;100;98.25703626;exp9-raw-8 
0.846391479;8.386015914;2.270284726;3.809270917;0.393149351;67.26724291;2.153154738;0.074352079;0.649816804;13.93337598;0;0.023425998;0.059074255;0.579538811;100;98.25168959;exp9-raw-9 
0.886747351;8.497287439;2.352386284;3.819047993;0.384564019;66.84765875;2.139648742;0.111482654;0.639235403;14.07033831;0.016364426;0.013296096;0.117619314;0.564572708;100;98.22849178;exp9-raw-10 
0.846974537;8.418320852;2.383394532;3.882989546;0.371318547;66.80051352;2.101069686;0.184124899;0.644437148;14.04463816;0.009206245;0;0.166735326;0.587153846;100;98.24495468;exp9-raw-11 
0.761590787;8.239131154;2.377523607;3.724477813;0.374096692;67.12716847;2.040527413;0.11954605;0.656472708;14.27853904;0;0;0.125729467;0.580210572;100;98.28231201;exp9-raw-12 
0.96127455;8.288239283;2.436599663;3.790608842;0.372172607;66.76488696;2.285468797;0.093557202;0.674434337;14.12302513;0;0;0.066826573;0.632282191;100;98.27207399;exp9-raw-13 
0.81427305;8.242884424;2.404969773;3.761409552;0.371333062;67.01385361;2.119565023;0.189246877;0.643439382;14.11577112;0;0.019436166;0.13605316;0.59433749;100;98.28152953;exp9-raw-14 
0.699721485;8.393688977;2.364752172;3.680432862;0.398381575;67.2733687;1.979649982;0.141987279;0.640474994;14.09760031;0;0;0.134836841;0.579185521;100;98.25008991;exp9-raw-15 
0.847214813;8.078725785;2.352579612;3.795604118;0.387327399;67.39803339;2.170668591;0.067450154;0.645886323;13.98568723;0;0.021461413;0.134900308;0.5590187;100;98.3157532;exp9-raw-16 
0.876508644;8.095368514;2.328355901;3.717892116;0.376981798;67.26061475;2.084304323;0.082042871;0.648034827;14.25157361;0;0;0.139161325;0.592993407;100;98.31228354;exp9-raw-17 
