   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;Total +Na;  Total  ;Comment  
0.703466453;8.411856371;2.509960332;3.304100223;0.342765524;68.32691935;1.207650624;0.107612432;0.622757129;14.52369266;0;0.007971291;0.079712912;0.225188978;100;98.46138951;exp9-1 
0.704162683;8.564673372;2.42500969;3.273565283;0.369883207;68.16433233;1.225361748;0.080108395;0.626032273;14.62719956;0.001977985;0;0.098899253;0.21856735;100;98.43343779;exp9-2 
0.659651978;8.294466792;2.4925705;3.53470141;0.35863609;68.33259333;1.233867103;0.071528528;0.630841876;14.46167747;0;0.030797005;0.042718426;0.214585583;100;98.48286121;exp9-3 
0.654864197;8.45296194;2.455740738;3.504515671;0.35918309;68.24577927;1.204553235;0.042665395;0.63998092;14.5290552;0;0;0.095252974;0.172646016;100;98.4538709;exp9-4 
0.604514815;8.341435511;2.465784112;3.341734032;0.301263139;68.43246898;1.199086951;0.097438243;0.66516515;14.64655877;0.007954142;0;0.034799373;0.183939541;100;98.47427017;exp9-5 
0.650819319;8.18464304;2.506601204;3.450438716;0.322918008;68.39184145;1.157122862;0.094682749;0.613942879;14.65688959;0;0;0.106642675;0.210295369;100;98.50294904;exp9-6 
0.630531719;8.605876287;2.537115743;3.272569539;0.323759551;68.01148945;1.153143587;0.100925045;0.650516876;14.78202174;0;0.017986642;0.09393024;0.158882002;100;98.42590138;exp9-7 
0.612766695;8.491189592;2.469936418;3.324035863;0.310852472;68.24353878;1.108343001;0.051643222;0.632629473;14.7888312;0;0;0.102293306;0.192668945;100;98.44687869;exp9-8 
0.621583224;8.548209329;2.421111128;3.468612269;0.306344673;68.16366624;1.198697061;0.08597415;0.642335605;14.55631303;0;0;0.126490704;0.191712473;100;98.43644922;exp9-9 
0.662314527;8.358845543;2.462451445;3.409471311;0.339648475;68.23837555;1.130829629;0.070926593;0.645332103;14.7207645;0;0;0.097898678;0.218773577;100;98.47108571;exp9-10 
0.550934204;8.318360502;2.482198124;3.215778992;0.317386009;68.74301486;1.13580276;0.058886083;0.632775879;14.56282783;0;0.020959453;0.106793405;0.157694935;100;98.47849081;exp9-11 
0.605350699;8.290361448;2.483922623;3.372101108;0.340385721;68.30142168;1.206731886;0.107176845;0.651000096;14.72292291;0.009923782;0.015878051;0.043664641;0.180612832;100;98.48361211;exp9-12 
0.603111904;8.520066082;2.468180728;3.466400594;0.335393913;67.97747913;1.254990281;0.062699752;0.61903565;14.69761814;0.006966639;0.01194281;0.069666392;0.235870497;100;98.4415969;exp9-13 
0.646305627;8.499750952;2.482288688;3.438385527;0.366206864;67.90662953;1.150087502;0.159349473;0.629479906;14.77298284;0.021774462;0.015835972;0.078190114;0.187062425;100;98.44531273;exp9-14 
0.635045097;8.419496484;2.483176341;3.26723202;0.368026135;68.31985168;1.1180794;0.094006676;0.649046091;14.74304697;0;0;0.075005326;0.178012641;100;98.45999206;exp9-15 
0.580481408;8.678904284;2.450589036;3.297373771;0.333128506;67.96918643;1.131041094;0.075801696;0.668251793;14.82721067;0;0.007979126;0.095749511;0.20346771;100;98.41254384;exp9-16 
0.58049245;8.480020001;2.473837014;3.12227006;0.311727443;68.24033443;1.13001198;0.13388294;0.676408586;14.93693997;0.007993011;0.002997379;0.034969425;0.182840135;100;98.44892172;exp9-17 
0.59160852;8.726239829;2.478789983;3.431329415;0.344027812;67.90770938;1.152393739;0.074572503;0.651266522;14.65498819;0.025851801;0;0.106390104;0.181956906;100;98.40388571;exp9-18 
0.537155067;8.480336959;2.49642568;3.202998857;0.343819106;68.32732035;1.119156103;0.067767244;0.676675863;14.78721127;0.001993154;0.032887045;0.050825433;0.179383881;100;98.44886374;exp9-19 
0.549763755;8.47033218;2.500925301;3.260598854;0.309866844;68.35062833;1.053547269;0.114950603;0.660716077;14.79064416;0.00099957;0.02099098;0.053976805;0.163929556;100;98.45069371;exp9-20 
